id,age,salary,department
1,24.0,1000000.0,HR
2,25.0,2000000.0,HR
3,28.0,58509.486398457186,IT
4,58.0,63376.14426807007,HR
5,63.0,47501.96170130343,HR
6,,58248.927890863495,Sales
7,,58808.85276478189,Sales
8,,84943.05732904378,Sales
9,,54326.378275994306,Marketing
10,,65921.98534688183,IT
11,,69973.92999345243,Sales
12,,41044.2062045991,Sales
13,,61540.804508624344,Marketing
14,,55411.570855587015,Sales
15,,58912.663372162046,Sales
16,,50253.36899083885,HR
17,36.0,52804.757987950754,Marketing
18,26.0,45726.85922437991,HR
19,60.0,51168.33315329168,Marketing
20,38.0,60819.15907676145,IT
21,20.0,,HR
22,24.0,,Marketing
23,31.0,,Marketing
24,56.0,,HR
25,61.0,,Sales
26,59.0,,Marketing
27,29.0,,Sales
28,37.0,,HR
29,46.0,,Sales
30,36.0,,Sales
31,26.0,,Sales
32,49.0,66458.7272136989,Sales
33,48.0,41602.40207523199,Sales
34,56.0,67187.89940389417,Sales
35,45.0,58758.24126887779,HR
36,59.0,57729.049767635144,HR
37,30.0,38842.1853736092,IT
38,53.0,80984.81085268519,Marketing
39,36.0,73007.1011126015,Marketing
40,45.0,67922.37919282255,HR
41,61.0,45142.9904868241,IT
42,19.0,56907.9136676215,HR
43,52.0,44758.31162392703,HR
44,56.0,68373.80344181904,HR
45,49.0,64275.03661228763,Marketing
46,29.0,58976.84774315216,HR
47,34.0,49073.03170794616,Marketing
48,26.0,59430.198624410994,IT
49,43.0,64499.833327032444,HR
50,22.0,70231.27390387573,IT
51,Unknown,64841.35724632069,IT
52,Unknown,60742.165769845684,HR
53,Unknown,73956.99987611936,Sales
54,Unknown,69169.67037177182,Marketing
55,Unknown,72672.96049221775,Sales
56,Unknown,54628.22807174159,Sales
57,53.0,49651.773367361995,Sales
58,58.0,77877.75778781864,IT
59,30.0,52738.024376735644,HR
60,29.0,66614.97945190904,Marketing
61,32.0,58889.743498700205,Sales
62,21.0,57737.10853779231,Marketing
63,59.0,60073.13345125213,IT
64,51.0,62751.58381789825,HR
65,48.0,57404.26642685921,Marketing
66,49.0,48200.50571355433,Marketing
67,29.0,55212.225471191916,HR
68,36.0,62129.504916555205,HR
69,56.0,64759.67526041308,HR
70,40.0,53539.51448402009,HR
71,32.0,46650.16339464235,IT
72,25.0,68107.27425077734,Sales
73,47.0,55095.23467637981,IT
74,50.0,58915.837744568205,Marketing
75,43.0,65247.01180698774,IT
76,50.0,55264.01989313507,Sales
77,34.0,39691.849043393566,IT
78,60.0,53704.511902177364,IT
79,41.0,38672.0278038145,IT
80,52.0,40204.495793245704,IT
81,49.0,63532.46215701784,HR
82,48.0,70315.67358055919,HR
83,42.0,67794.76798855166,HR
84,27.0,44306.092121364716,Sales
85,47.0,53419.81827653384,Marketing
86,46.0,49090.71601072127,HR
87,22.0,55889.642364248546,IT
88,58.0,76749.97402187914,IT
89,50.0,73303.66108234598,Marketing
90,64.0,57479.359659914226,IT
91,39.0,68159.73809469573,Marketing
92,28.0,67175.33347450395,Sales
93,33.0,73990.93550475844,Sales
94,61.0,57908.6093427384,IT
95,27.0,59940.20475598158,HR
96,45.0,66725.80467558878,HR
97,32.0,50000.50951985367,HR
98,45.0,51748.22930457312,Sales
99,64.0,47990.34272137694,Sales
100,35.0,57832.989545421675,HR
